"Centrale/decentrale productie";"Energiedragers";"Perioden";"Bruto productie elektriciteit en warmte/Elektriciteit/Elektriciteit (%) (%)"
"Totaal centrale/decentrale productie";"Totaal energiedragers";"2018**";"   100.0"
"Totaal centrale/decentrale productie";"Totaal energiedragers";"2019*";"   100.0"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2018**";"    78.0"
"Totaal centrale/decentrale productie";"Totaal fossiele brandstoffen";"2019*";"    76.3"
"Totaal centrale/decentrale productie";"Aardgas";"2018**";"    50.4"
"Totaal centrale/decentrale productie";"Aardgas";"2019*";"    58.7"
"Totaal centrale/decentrale productie";"Steenkool";"2018**";"    24.0"
"Totaal centrale/decentrale productie";"Steenkool";"2019*";"    14.4"
"Totaal centrale/decentrale productie";"Stookolie";"2018**";"     0.0"
"Totaal centrale/decentrale productie";"Stookolie";"2019*";"     0.1"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2018**";"     3.6"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"2019*";"     3.2"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2018**";"    16.5"
"Totaal centrale/decentrale productie";"Totaal hernieuwbare energie";"2019*";"    18.5"
"Totaal centrale/decentrale productie";"Zonnestroom";"2018**";"     3.2"
"Totaal centrale/decentrale productie";"Zonnestroom";"2019*";"     4.3"
"Totaal centrale/decentrale productie";"Windenergie";"2018**";"     9.2"
"Totaal centrale/decentrale productie";"Windenergie";"2019*";"     9.5"
"Totaal centrale/decentrale productie";"Waterkracht";"2018**";"     0.1"
"Totaal centrale/decentrale productie";"Waterkracht";"2019*";"     0.1"
"Totaal centrale/decentrale productie";"Biomassa";"2018**";"     4.0"
"Totaal centrale/decentrale productie";"Biomassa";"2019*";"     4.7"
"Totaal centrale/decentrale productie";"Kernenergie";"2018**";"     3.1"
"Totaal centrale/decentrale productie";"Kernenergie";"2019*";"     3.2"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2018**";"     2.4"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2019*";"     2.0"
